name,stats_total,weakness,individual_stats,types
bulbasaur,318,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[45, 49, 49, 65, 65, 45]","['grass', 'poison']"
ivysaur,405,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[60, 62, 63, 80, 80, 60]","['grass', 'poison']"
venusaur,525,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[80, 82, 83, 100, 100, 80]","['grass', 'poison']"
charmander,309,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 1, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.5, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 2, 'fairy': 1}","[39, 52, 43, 60, 50, 65]",['fire']
charmeleon,405,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 1, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.5, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 2, 'fairy': 1}","[58, 64, 58, 80, 65, 80]",['fire']
charizard,534,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 0.5, 'grass': 4, 'ice': 2, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 4, 'rock': 0.25, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1.0, 'fairy': 1}","[78, 84, 78, 109, 85, 100]","['fire', 'flying']"
squirtle,314,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[44, 48, 65, 50, 64, 43]",['water']
wartortle,405,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[59, 63, 80, 65, 80, 58]",['water']
blastoise,530,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[79, 83, 100, 85, 105, 78]",['water']
caterpie,195,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 2, 'ice': 1, 'fighting': 0.5, 'poison': 0.5, 'ground': 1, 'flying': 0.5, 'psychic': 2, 'bug': 1, 'rock': 1, 'ghost': 0.5, 'dragon': 1, 'dark': 2, 'steel': 0.5, 'fairy': 0.5}","[45, 30, 35, 20, 20, 45]",['bug']
