epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6131,1.06865,3.46119,1.56842,0.64539,0.08651,0.1976,0.12154,1.58038,3.2082,2.02832,0.000328889,0.000328889,0.000328889
2,39.3392,1.26243,2.59212,1.69551,0.46875,0.39962,0.35624,0.16358,1.89613,3.07265,2.42464,0.000655666,0.000655666,0.000655666
3,58.0868,1.29459,2.29218,1.71605,0.44264,0.40911,0.42005,0.24069,1.50707,4.20301,2.33178,0.000975844,0.000975844,0.000975844
4,77.0952,1.26093,2.18571,1.67545,0.40698,0.42968,0.36352,0.19373,1.76746,2.34302,2.25992,0.0009703,0.0009703,0.0009703
5,96.7026,1.27599,2.03004,1.68914,0.6338,0.37407,0.37304,0.19974,1.76041,2.46894,2.28302,0.0009604,0.0009604,0.0009604
6,116.244,1.24153,1.89308,1.64166,0.75316,0.50055,0.57646,0.36089,1.43346,2.06655,2.02385,0.0009505,0.0009505,0.0009505
7,134.848,1.21296,1.74352,1.61414,0.73548,0.4511,0.53708,0.31989,1.57833,1.90864,2.03988,0.0009406,0.0009406,0.0009406
8,153.368,1.20328,1.67534,1.62758,0.67474,0.58392,0.63986,0.39534,1.45275,1.59683,1.9546,0.0009307,0.0009307,0.0009307
9,173.203,1.19851,1.60809,1.59997,0.70715,0.55789,0.6107,0.34924,1.64047,1.93834,2.16764,0.0009208,0.0009208,0.0009208
10,192.858,1.14065,1.49842,1.55783,0.75144,0.56571,0.62113,0.39207,1.41024,1.69074,1.90724,0.0009109,0.0009109,0.0009109
11,212.388,1.13053,1.46309,1.5565,0.81391,0.57127,0.63334,0.41707,1.42585,1.69785,1.9587,0.000901,0.000901,0.000901
12,232.092,1.1346,1.38628,1.54966,0.67841,0.50614,0.58614,0.36546,1.45963,1.8229,1.89032,0.0008911,0.0008911,0.0008911
13,251.607,1.04536,1.42282,1.48472,0.83196,0.55689,0.67569,0.44308,1.37753,1.48786,1.82079,0.0008812,0.0008812,0.0008812
14,270.155,1.07608,1.29663,1.51098,0.64706,0.63413,0.65174,0.46179,1.21019,1.51156,1.71957,0.0008713,0.0008713,0.0008713
15,288.766,1.07417,1.27565,1.50799,0.65501,0.63232,0.68408,0.44967,1.30354,1.3177,1.80615,0.0008614,0.0008614,0.0008614
16,307.281,1.06123,1.26238,1.47293,0.72398,0.69426,0.6902,0.47106,1.35505,1.38424,1.79787,0.0008515,0.0008515,0.0008515
17,325.431,1.0438,1.19009,1.47312,0.77044,0.63664,0.71,0.47776,1.3131,1.27559,1.825,0.0008416,0.0008416,0.0008416
18,341.425,1.04954,1.20276,1.48004,0.82353,0.65412,0.74294,0.48603,1.38097,1.20757,1.82677,0.0008317,0.0008317,0.0008317
19,357.414,1.01556,1.11652,1.45477,0.79773,0.6762,0.72731,0.47781,1.38318,1.23135,1.85376,0.0008218,0.0008218,0.0008218
20,373.437,1.00645,1.10618,1.4427,0.77705,0.73305,0.75037,0.50639,1.2196,1.12185,1.70402,0.0008119,0.0008119,0.0008119
21,389.433,1.01005,1.13331,1.45437,0.85811,0.60682,0.72647,0.48601,1.35616,1.39062,1.8246,0.000802,0.000802,0.000802
22,407.901,0.99424,1.09596,1.42978,0.74824,0.60788,0.71395,0.51011,1.19193,1.16467,1.65378,0.0007921,0.0007921,0.0007921
23,427.4,0.99534,1.06876,1.44337,0.82856,0.62678,0.73901,0.52112,1.29089,1.23306,1.72158,0.0007822,0.0007822,0.0007822
24,446.44,0.97209,1.0356,1.4168,0.90102,0.66763,0.79133,0.55038,1.1887,1.15011,1.60366,0.0007723,0.0007723,0.0007723
25,465.071,0.9616,1.03881,1.42434,0.86867,0.61239,0.73056,0.51352,1.20206,1.14232,1.61532,0.0007624,0.0007624,0.0007624
26,483.553,0.94863,0.98482,1.39899,0.82553,0.6916,0.75537,0.51498,1.22608,1.14099,1.71491,0.0007525,0.0007525,0.0007525
27,501.981,0.94811,0.97375,1.38952,0.79871,0.64634,0.70556,0.44462,1.48526,1.14132,1.93501,0.0007426,0.0007426,0.0007426
28,521.553,0.91894,0.95657,1.37821,0.84681,0.70102,0.76075,0.51653,1.24753,1.11703,1.67501,0.0007327,0.0007327,0.0007327
29,541.228,0.9147,0.90048,1.36781,0.72968,0.69541,0.73599,0.51228,1.17037,1.17545,1.58873,0.0007228,0.0007228,0.0007228
30,559.793,0.90297,0.9247,1.36124,0.86308,0.69549,0.76665,0.53166,1.25989,1.04405,1.66896,0.0007129,0.0007129,0.0007129
31,578.298,0.89879,0.88911,1.3487,0.79367,0.69224,0.73618,0.5231,1.13677,1.14315,1.57081,0.000703,0.000703,0.000703
32,596.74,0.8711,0.86341,1.3238,0.82718,0.6494,0.73266,0.52688,1.25301,1.16853,1.71303,0.0006931,0.0006931,0.0006931
33,615.22,0.85636,0.85271,1.33021,0.9186,0.6153,0.73266,0.50914,1.3252,1.23419,1.75049,0.0006832,0.0006832,0.0006832
34,633.677,0.85734,0.85152,1.32756,0.85292,0.69022,0.75343,0.52015,1.28387,1.07415,1.69893,0.0006733,0.0006733,0.0006733
35,652.341,0.88332,0.84083,1.3315,0.90627,0.63082,0.77277,0.56039,1.12687,1.13431,1.54935,0.0006634,0.0006634,0.0006634
36,671.687,0.85408,0.83291,1.32342,0.84839,0.70695,0.78664,0.54605,1.24661,0.96736,1.69606,0.0006535,0.0006535,0.0006535
37,690.128,0.8482,0.82295,1.30855,0.88431,0.69389,0.78305,0.57099,1.15983,0.93209,1.61085,0.0006436,0.0006436,0.0006436
38,708.598,0.82853,0.8207,1.29991,0.80337,0.7829,0.7951,0.56258,1.22794,0.97498,1.64309,0.0006337,0.0006337,0.0006337
39,727.008,0.80803,0.78893,1.29582,0.88705,0.69084,0.7689,0.55697,1.23337,1.05722,1.70823,0.0006238,0.0006238,0.0006238
40,745.5,0.82815,0.76992,1.30487,0.83982,0.62416,0.72276,0.52402,1.18988,1.15729,1.60833,0.0006139,0.0006139,0.0006139
41,764.487,0.82975,0.77067,1.30029,0.95508,0.67644,0.78623,0.57134,1.14412,0.98954,1.62383,0.000604,0.000604,0.000604
42,783.561,0.83291,0.77294,1.29426,0.8843,0.70719,0.78978,0.56118,1.17218,0.99355,1.63301,0.0005941,0.0005941,0.0005941
43,802.111,0.77849,0.73403,1.25658,0.89131,0.63813,0.74704,0.56441,1.13422,1.0549,1.58704,0.0005842,0.0005842,0.0005842
44,819.881,0.791,0.73404,1.27632,0.84766,0.68334,0.76363,0.57366,1.13974,1.03063,1.59087,0.0005743,0.0005743,0.0005743
45,838.485,0.82608,0.80555,1.2994,0.89591,0.67846,0.78064,0.56605,1.14107,0.98117,1.58467,0.0005644,0.0005644,0.0005644
46,856.944,0.77939,0.7333,1.25579,0.93226,0.62377,0.75081,0.55075,1.19299,1.00889,1.63619,0.0005545,0.0005545,0.0005545
47,875.499,0.76885,0.71156,1.25369,0.849,0.68557,0.78335,0.56295,1.18057,1.05929,1.60011,0.0005446,0.0005446,0.0005446
48,893.923,0.7856,0.69056,1.25835,0.87246,0.73323,0.81937,0.56009,1.21434,0.89109,1.70619,0.0005347,0.0005347,0.0005347
49,912.467,0.77885,0.71892,1.26485,0.91001,0.69118,0.79887,0.58098,1.15247,0.95872,1.61311,0.0005248,0.0005248,0.0005248
50,931.011,0.74585,0.66008,1.23092,0.87934,0.69321,0.80174,0.57258,1.16908,0.8638,1.59536,0.0005149,0.0005149,0.0005149
51,949.482,0.76529,0.68611,1.2547,0.84988,0.71272,0.79073,0.57215,1.06473,0.95163,1.51319,0.000505,0.000505,0.000505
52,967.951,0.7381,0.66449,1.23195,0.91399,0.62416,0.73568,0.54753,1.17589,1.0641,1.64869,0.0004951,0.0004951,0.0004951
53,986.409,0.71548,0.64845,1.22317,0.87463,0.64927,0.73555,0.53924,1.14822,1.11525,1.56144,0.0004852,0.0004852,0.0004852
54,1004.93,0.72089,0.63998,1.21392,0.93756,0.67225,0.76199,0.55496,1.20687,1.14997,1.65553,0.0004753,0.0004753,0.0004753
55,1023.42,0.75601,0.68301,1.2592,0.80336,0.67421,0.73252,0.53902,1.11941,1.10477,1.56301,0.0004654,0.0004654,0.0004654
56,1041.87,0.72754,0.66495,1.22796,0.83476,0.70383,0.7562,0.55739,1.19496,1.10789,1.65588,0.0004555,0.0004555,0.0004555
57,1060.35,0.74536,0.64021,1.2361,0.87811,0.7392,0.79147,0.57983,1.16824,1.02061,1.62132,0.0004456,0.0004456,0.0004456
58,1078.85,0.69982,0.66347,1.21361,0.89465,0.64234,0.76901,0.57162,1.07633,1.078,1.52308,0.0004357,0.0004357,0.0004357
59,1097.39,0.70286,0.61474,1.2011,0.9056,0.66501,0.77374,0.55951,1.14666,1.04029,1.60674,0.0004258,0.0004258,0.0004258
60,1115.88,0.70002,0.60379,1.20267,0.87954,0.67226,0.75436,0.55103,1.16523,1.08904,1.60061,0.0004159,0.0004159,0.0004159
61,1134.4,0.67433,0.59846,1.1823,0.86118,0.70813,0.77156,0.56562,1.1288,1.04883,1.60081,0.000406,0.000406,0.000406
62,1152.86,0.67905,0.59001,1.19115,0.85737,0.69512,0.7548,0.55657,1.10244,1.04509,1.56722,0.0003961,0.0003961,0.0003961
63,1171.42,0.67904,0.59057,1.17412,0.82735,0.73068,0.77583,0.5808,1.10093,0.99919,1.5644,0.0003862,0.0003862,0.0003862
64,1189.98,0.65976,0.56158,1.1743,0.95871,0.68728,0.78475,0.58863,1.09902,1.01728,1.54178,0.0003763,0.0003763,0.0003763
65,1208.41,0.67482,0.57925,1.18544,0.88857,0.73184,0.80138,0.59565,1.09224,1.00152,1.55464,0.0003664,0.0003664,0.0003664
66,1228.19,0.66093,0.56511,1.1755,0.8962,0.695,0.78237,0.57975,1.10814,1.05098,1.5756,0.0003565,0.0003565,0.0003565
